Unique_id,job_42,household_type,studying,insee_code,Activity_type,age_2020,Qualification,Sex,target
3,"csp_7_1","fm4_4",FALSE,"01001","tact21",85,"EDU2","Female","L"
4,"csp_4_6","fm1_2",FALSE,"01001","tact11",29,"EDU1-6","Female","L"
8,"csp_7_5","fm4_4",FALSE,"01004","tact21",78,"EDU1-7","Female","T"
9,"csp_8_5","fm4_1",TRUE,"01004","tact22",15,"EDU3","Male","T"
10,"csp_6_7","fm4_1",FALSE,"01004","tact11",34,"EDU1-5","Male","L"
11,"csp_7_8","fm4_4",FALSE,"01004","tact21",72,"EDU1-3","Male","T"
16,"csp_4_2","fm4_2",FALSE,"01004","tact11",58,"EDU1-8","Male","T"
18,"csp_8_6","fm4_4",FALSE,"01004","tact21",88,"EDU1-7","Female","T"
19,"csp_4_7","fm4_1",FALSE,"01004","tact11",31,"EDU1-6","Male","L"
22,"csp_3_8","fm4_1",FALSE,"01004","tact11",35,"EDU1-8","Male","L"
23,"csp_7_8","fm2_0",FALSE,"01004","tact21",70,"EDU2","Female","T"
25,"csp_6_2","fm4_4",FALSE,"01004","tact11",29,"EDU1-3","Male","L"
26,"csp_7_2","fm4_4",FALSE,"01004","tact21",84,"EDU1-3","Male","T"
27,"csp_7_7","fm4_4",FALSE,"01004","tact21",76,"EDU1-3","Male","T"
29,"csp_4_7","fm1_1",FALSE,"01004","tact11",26,"EDU1-5","Male","L"
33,"csp_4_6","fm3_2",FALSE,"01004","tact12",49,"EDU1-5","Female","T"
35,"csp_7_7","fm1_2",FALSE,"01004","tact21",66,"EDU1-1","Female","T"
37,"csp_7_5","fm4_2",FALSE,"01004","tact21",67,"EDU1-4","Female","L"
38,"csp_2_2","fm1_2",FALSE,"01004","tact11",86,"EDU1-4","Female","T"
39,"csp_4_2","fm4_1",FALSE,"01005","tact11",45,"EDU1-7","Female","L"
49,"csp_7_2","fm4_4",FALSE,"01014","tact21",87,"EDU1-3","Male","T"
50,"csp_8_5","fm3_2",FALSE,"01014","tact25",33,"EDU1-8","Male","T"
51,"csp_7_4","fm4_4",FALSE,"01014","tact21",67,"EDU1-7","Female","T"
52,"csp_7_8","fm4_3",FALSE,"01016","tact21",61,"EDU1-3","Male","T"
54,"csp_7_7","fm4_4",FALSE,"01017","tact21",84,"EDU1-3","Female","T"
56,"csp_8_5","fm4_2",FALSE,"01022","tact24",44,"EDU1-7","Female","T"
58,"csp_7_5","fm4_4",FALSE,"01024","tact21",73,"EDU1-4","Male","T"
59,"csp_4_3","fm4_1",FALSE,"01024","tact11",34,"EDU1-6","Female","L"
65,"csp_7_2","fm4_4",FALSE,"01024","tact21",81,"EDU1-1","Female","T"
67,"csp_5_4","fm4_1",FALSE,"01025","tact11",48,"EDU1-6","Female","L"
68,"csp_4_8","fm4_1",FALSE,"01025","tact11",50,"EDU1-6","Male","L"
72,"csp_7_5","fm4_4",FALSE,"01025","tact21",66,"EDU1-5","Male","T"
73,"csp_7_8","fm4_4",FALSE,"01025","tact21",58,"EDU1-3","Male","T"
74,"csp_7_5","fm1_2",FALSE,"01025","tact21",70,"EDU1-6","Female","T"
75,"csp_7_8","fm4_4",FALSE,"01026","tact21",70,"EDU1-1","Male","T"
76,"csp_4_5","fm1_1",FALSE,"01026","tact11",47,"EDU1-4","Male","L"
77,"csp_2_1","fm4_1",FALSE,"01026","tact11",51,"EDU1-3","Female","T"
78,"csp_8_1","fm4_4",FALSE,"01026","tact12",28,"EDU1-3","Female","L"
80,"csp_7_7","fm4_4",FALSE,"01027","tact21",64,"EDU1-2","Female","T"
84,"csp_5_6","fm4_3",FALSE,"01029","tact11",54,"EDU1-3","Female","T"
87,"csp_6_8","fm2_0",FALSE,"01030","tact11",57,"EDU1-3","Male","T"
91,"csp_4_7","fm1_1",FALSE,"01031","tact12",45,"EDU1-6","Male","T"
93,"csp_7_8","fm4_3",FALSE,"01031","tact21",62,"EDU1-3","Male","T"
94,"csp_8_5","fm4_4",FALSE,"01032","tact25",43,"EDU1-3","Male","T"
97,"csp_6_2","fm1_1",FALSE,"01033","tact11",39,"EDU1-3","Male","T"
98,"csp_7_5","fm4_4",FALSE,"01033","tact21",70,"EDU1-4","Male","T"
102,"csp_3_7","fm4_1",FALSE,"01033","tact11",56,"EDU1-8","Female","T"
109,"csp_7_8","fm4_4",FALSE,"01033","tact21",83,"EDU1-2","Female","T"
111,"csp_5_4","fm4_1",FALSE,"01033","tact11",39,"EDU1-7","Female","T"
114,"csp_7_7","fm4_4",FALSE,"01033","tact21",93,"EDU1-5","Male","T"
115,"csp_5_2","fm4_1",FALSE,"01033","tact11",54,"EDU1-6","Female","L"
117,"csp_8_4","fm3_2",TRUE,"01033","tact22",19,"EDU3","Female","T"
120,"csp_4_6","fm4_1",FALSE,"01033","tact11",42,"EDU1-6","Male","L"
121,"csp_4_6","fm4_1",FALSE,"01033","tact11",36,"EDU1-6","Female","L"
122,"csp_7_7","fm4_4",FALSE,"01033","tact21",66,"EDU1-2","Female","T"
127,"csp_7_7","fm1_2",FALSE,"01034","tact21",91,"EDU1-2","Female","T"
130,"csp_8_5","fm4_4",FALSE,"01034","tact24",61,"EDU2","Female","T"
133,"csp_5_3","fm3_2",FALSE,"01034","tact11",56,"EDU1-4","Male","L"
134,"csp_7_7","fm1_2",FALSE,"01034","tact21",94,"EDU1-2","Female","T"
136,"csp_7_7","fm1_2",FALSE,"01034","tact21",92,"EDU1","Female","T"
138,"csp_8_4","fm1_1",TRUE,"01036","tact22",20,"EDU1-4","Male","L"
139,"csp_4_6","fm4_1",FALSE,"01037","tact11",30,"EDU1-7","Female","L"
141,"csp_4_2","fm4_1",FALSE,"01038","tact11",43,"EDU1-8","Female","L"
143,"csp_6_3","fm1_1",FALSE,"01039","tact11",24,"EDU1-3","Male","L"
