Unique_id,Emp_contract
4,"temp_1_6"
10,"temp_1_6"
16,"temp_2_1"
19,"temp_1_6"
22,"temp_1_6"
25,"temp_1_6"
29,"temp_1_6"
38,"temp_2_1"
39,"temp_1_6"
59,"temp_1_6"
67,"temp_1_6"
68,"temp_1_6"
76,"temp_1_6"
77,"temp_2_1"
84,"temp_1_6"
87,"temp_1_6"
97,"temp_1_2"
102,"temp_1_6"
111,"temp_1_5"
115,"temp_1_6"
120,"temp_1_6"
121,"temp_1_6"
133,"temp_1_6"
139,"temp_1_6"
141,"temp_2_1"
143,"temp_1_6"
161,"temp_1_6"
164,"temp_1_2"
173,"temp_1_2"
175,"temp_1_6"
179,"temp_1_6"
181,"temp_1_6"
182,"temp_1_6"
185,"temp_1_1"
186,"temp_1_6"
203,"temp_1_6"
205,"temp_1_6"
206,"temp_1_2"
209,"temp_2_2"
216,"temp_1_5"
219,"temp_1_6"
221,"temp_1_6"
222,"temp_2_1"
224,"temp_1_1"
231,"temp_2_2"
233,"temp_2_1"
237,"temp_1_6"
241,"temp_1_6"
244,"temp_1_6"
245,"temp_2_2"
252,"temp_1_6"
254,"temp_1_6"
255,"temp_1_6"
260,"temp_2_1"
266,"temp_1_6"
267,"temp_1_2"
271,"temp_1_6"
278,"temp_1_6"
282,"temp_2_2"
283,"temp_2_1"
284,"temp_1_6"
285,"temp_2_2"
288,"temp_1_6"
289,"temp_1_6"
290,"temp_1_6"
291,"temp_1_6"
295,"temp_1_1"
299,"temp_1_5"
301,"temp_2_1"
303,"temp_1_6"
311,"temp_1_6"
313,"temp_1_6"
316,"temp_1_5"
317,"temp_1_6"
319,"temp_1_6"
320,"temp_1_6"
323,"temp_1_6"
328,"temp_1_6"
332,"temp_1_6"
333,"temp_1_3"
338,"temp_1_6"
343,"temp_1_6"
344,"temp_1_6"
345,"temp_1_6"
347,"temp_2_1"
350,"temp_1_6"
360,"temp_1_6"
363,"temp_1_6"
365,"temp_1_6"
367,"temp_1_6"
380,"temp_1_6"
382,"temp_1_6"
383,"temp_1_6"
390,"temp_2_1"
396,"temp_1_6"
403,"temp_1_6"
406,"temp_1_6"
408,"temp_1_6"
410,"temp_1_6"
413,"temp_1_6"
414,"temp_1_6"
415,"temp_1_6"
418,"temp_1_6"
425,"temp_1_6"
426,"temp_1_5"
435,"temp_1_6"
437,"temp_1_6"
440,"temp_1_3"
443,"temp_1_6"
444,"temp_1_6"
445,"temp_2_1"
454,"temp_1_6"
456,"temp_1_6"
457,"temp_1_6"
460,"temp_1_6"
463,"temp_2_2"
474,"temp_1_6"
480,"temp_1_6"
481,"temp_1_6"
484,"temp_1_6"
486,"temp_1_6"
487,"temp_1_5"
495,"temp_1_6"
496,"temp_2_1"
497,"temp_1_5"
499,"temp_1_6"
500,"temp_1_6"
505,"temp_1_6"
506,"temp_1_6"
510,"temp_1_6"
511,"temp_2_2"
512,"temp_1_6"
514,"temp_1_6"
518,"temp_1_6"
530,"temp_1_6"
531,"temp_2_1"
544,"temp_1_6"
546,"temp_2_1"
549,"temp_1_6"
553,"temp_1_6"
555,"temp_2_1"
556,"temp_1_6"
