Unique_id,COMPANY_CATEGORY,JOB_CONDITION,activity_sector,Job_category,working_hours,EMPLOYEE_COUNT,Remuneration,job_desc,Job_dep,Contract_type
4,"ct_8","C","QA","O",1820,"tr_5",22019,"461c","69","CDI"
10,"ct_9","C","CJ","O",1674,"tr_3",18348,"673c","01","CDI"
19,"ct_9","C","DZ","O",2100,"tr_6",49599,"477c","01","CDI"
22,"ct_9","C","DZ","O",1806,"tr_6",62652,"386b","92","CDI"
25,"ct_9","C","CC","O",1935,"tr_4",18185,"624d","01","CDI"
29,"ct_9","C","DZ","O",2171,"tr_3",49876,"475b","01","CDI"
39,"ct_8","C","PZ","O",1820,"tr_5",15406,"422c","01","CDI"
59,"ct_1","C","QA","O",1785,"tr_6",26024,"433a","69","CDI"
67,"ct_9","C","CG","O",1533,"tr_6",16079,"543g","01","CDI"
68,"ct_9","C","FZ","O",1786,"tr_2",31037,"481b","01","CDI"
84,"ct_7","N","QB","O",3000,"tr_1",14923,"563a","01","CDI"
87,"ct_9","C","EZ","O",1699,"tr_3",23250,"684b","01","CDI"
97,"ct_9","C","NZ","O",184,"tr_1",1599,"625g","01","TTP"
102,"ct_9","C","NZ","O",441,"tr_1",27639,"374d","01","CDI"
111,"ct_9","N","NZ","O",985,"tr_1",11664,"545b","69","TTP"
115,"ct_8","P","QB","O",1638,"tr_4",22553,"525d","01","CDI"
120,"ct_9","C","HZ","O",1664,"tr_4",24752,"466c","01","CDI"
121,"ct_9","P","CB","O",913,"tr_2",24245,"461c","69","CDI"
133,"ct_9","C","CL","O",1914,"tr_6",33725,"534a","01","CDI"
139,"ct_9","C","HZ","O",1820,"tr_6",26074,"461f","69","CDI"
143,"ct_9","C","GZ","O",1833,"tr_1",14224,"634a","69","CDI"
161,"ct_8","C","QB","O",1820,"tr_4",20871,"525d","01","CDI"
164,"ct_9","C","NZ","O",211,"tr_1",2040,"682a","69","TTP"
175,"ct_8","C","QB","O",1605,"tr_5",23633,"526a","01","CDI"
179,"ct_9","C","KZ","O",1820,"tr_2",39668,"545c","69","CDI"
181,"ct_9","C","CG","O",1971,"tr_3",26712,"653a","01","CDI"
182,"ct_9","C","GZ","O",1280,"tr_4",10032,"551a","01","CDI"
185,"ct_9","C","IZ","A",916,"tr_3",5741,"561d","69","APP"
186,"ct_8","C","NZ","O",1751,"tr_3",15523,"691e","01","CDI"
203,"ct_9","C","FZ","O",1610,"tr_1",22403,"632j","01","CDI"
206,"ct_2","C","OZ","O",1819,"tr_6",23311,"621f","01","AUT"
216,"ct_8","C","QB","O",525,"tr_4",6050,"526d","01","CDD"
219,"ct_9","C","FZ","O",1724,"tr_2",18407,"621e","01","CDI"
221,"ct_9","C","NZ","O",1785,"tr_5",19125,"684a","01","CDI"
224,"ct_9","C","CH","A",1057,"tr_3",7339,"633d","01","APP"
237,"ct_8","C","QA","O",1871,"tr_5",21822,"525d","01","CDI"
241,"ct_9","C","FZ","O",678,"tr_0",7378,"632j","01","CDI"
244,"ct_8","P","RZ","O",231,"tr_0",7973,"424a","01","CDI"
252,"ct_9","C","CG","O",1820,"tr_6",50891,"374d","01","CDI"
254,"ct_9","P","MA","O",462,"tr_1",3055,"543g","29","CDI"
255,"ct_9","C","GZ","O",1851,"tr_2",46804,"384c","69","CDI"
267,"ct_9","C","NZ","O",496,"tr_1",5031,"676c","01","TTP"
271,"ct_7","N","QB","O",1222,"tr_1",4872,"563a","01","CDI"
278,"ct_9","C","GZ","O",1709,"tr_1",22101,"543f","01","CDI"
284,"ct_9","C","MA","O",1750,"tr_6",32767,"474a","39","CDI"
288,NA,"C","IZ","O",306,NA,3974,"561d","01","CDI"
289,"ct_8","C","PZ","O",1820,"tr_4",26869,"341a","69","CDI"
290,"ct_9","C","CK","O",1778,"tr_6",27302,"543g","01","CDI"
291,"ct_9","C","JB","O",1778,"tr_6",33874,"462e","69","CDI"
295,"ct_9","C","KZ","A",1643,"tr_1",15437,"467a","21","APP"
299,"ct_9","C","GZ","O",247,"tr_0",1372,"556a","38","AUT"
303,"ct_9","C","FZ","O",1757,"tr_3",24001,"621e","07","CDI"
311,"ct_8","C","PZ","O",1814,"tr_4",25835,"422b","01","CDI"
313,"ct_8","P","QB","O",1445,"tr_4",14774,"435b","01","CDI"
316,"ct_1","C","OZ","O",1820,"tr_6",25634,"523b","69","AUT"
317,"ct_9","C","GZ","O",1709,"tr_2",29093,"463a","71","CDI"
319,"ct_8","P","QA","O",2028,"tr_1",53301,"461d","01","CDI"
