Unique_id,former_job_42,Former_emp_contract,retirement_age
3,"csp_1_1","temp_2_1",63
8,"csp_4_2","temp_1_6",55
11,"csp_6_4","temp_1_6",60
23,"csp_6_5","temp_1_6",61
26,"csp_2_2","temp_2_2",60
27,"csp_5_2","temp_1_6",56
35,"csp_5_6","temp_1_6",55
37,"csp_4_3","temp_1_6",60
49,"csp_2_1","temp_2_2",59
51,"csp_3_5","temp_2_1",54
52,"csp_6_7","temp_1_5",56
54,"csp_5_2","temp_1_6",62
58,"csp_4_5","temp_1_6",58
65,"csp_2_2","temp_2_2",64
72,"csp_4_3","temp_1_6",65
73,"csp_6_2","temp_1_6",58
74,"csp_4_2","temp_1_6",60
75,"csp_6_5","temp_1_6",62
80,"csp_5_6","temp_1_6",60
93,"csp_6_8","temp_1_6",60
98,"csp_4_6","temp_1_6",57
109,"csp_6_3","temp_1_6",57
114,"csp_5_3","temp_1_6",60
122,"csp_5_6","temp_1_5",60
127,"csp_5_2","temp_1_6",65
134,"csp_5_4","temp_1_6",55
136,"csp_5_5","temp_1_6",60
147,"csp_5_6","temp_1_5",60
150,"csp_5_4","temp_1_6",65
153,"csp_6_7","temp_1_3",65
155,"csp_5_4","temp_1_6",60
163,"csp_5_4","temp_1_6",60
168,"csp_4_2","temp_1_6",65
170,"csp_6_3","temp_1_6",57
172,"csp_4_6","temp_1_6",59
189,"csp_6_4","temp_1_6",59
198,"csp_3_7","temp_1_6",60
204,"csp_5_2","temp_1_5",60
208,"csp_6_7","temp_1_6",60
213,"csp_1_1","temp_2_1",52
218,"csp_2_2","temp_2_2",60
230,"csp_1_1","temp_2_2",55
239,"csp_2_1","temp_2_1",56
243,"csp_5_4","temp_1_6",60
257,"csp_2_1","temp_2_1",60
259,"csp_5_3","temp_1_6",54
261,"csp_4_5","temp_1_6",65
265,"csp_4_6","temp_1_6",61
276,"csp_5_4","temp_1_6",60
302,"csp_4_2","temp_1_6",60
305,"csp_6_3","temp_1_5",65
314,"csp_5_2","temp_1_6",60
318,"csp_5_5","temp_1_6",60
337,"csp_6_4","temp_1_6",60
376,"csp_4_7","temp_1_2",60
378,"csp_6_3","temp_1_6",60
384,"csp_5_6","temp_1_6",60
386,"csp_3_8","temp_1_6",58
387,"csp_5_2","temp_1_6",60
391,"csp_3_7","temp_1_6",55
393,"csp_5_6","temp_1_6",65
394,"csp_2_1","temp_2_1",65
395,"csp_1_2","temp_2_3",60
399,"csp_2_1","temp_2_1",60
411,"csp_6_2","temp_1_6",59
412,"csp_6_7","temp_1_6",65
