Unique_id,activity_sector,Former_dep,Job_dep,job_desc,Contract_type,Job_category,JOB_CONDITION,COMPANY_CATEGORY,working_hours,EMPLOYEE_COUNT
8,"PZ","31","31","423b","CDI","O","P","ct_9",1076,"tr_1"
11,"HZ","91","45","641a","CDI","O","C","ct_9",1968,"tr_0"
23,"GZ","27","27","653a","CDI","O","P","ct_9",809,"tr_4"
27,"QB","61","61","526d","CDI","O","C","ct_8",1213,"tr_3"
35,"QB","92","92","563b","CDI","O","N","ct_7",2452,"tr_1"
37,"QB","30","34","435b","CDI","O","C","ct_8",1716,"tr_3"
52,"NZ","41","41","671c","TTP","O","C","ct_9",788,"tr_1"
54,"SZ","69","69","524c","CDI","O","C",NA,274,NA
58,"OZ","94","94","451e","CDI","O","C","ct_1",1820,"tr_5"
72,"QB","91","91","431f","CDI","O","C","ct_8",2006,"tr_5"
73,"CC","16","16","627f","CDI","O","C","ct_9",1800,"tr_5"
74,"PZ","74","74","422e","CDI","O","P","ct_8",1421,"tr_1"
75,"HZ","93","95","652a","CDI","O","C","ct_9",1938,"tr_5"
80,"QB","93","75","563b","CDI","O","C",NA,515,NA
93,"FZ","57","57","681b","CDI","O","C","ct_9",929,"tr_2"
98,"GZ","14","14","463b","CDI","O","C","ct_9",1561,"tr_1"
109,"GZ","39","39","637d","CDI","O","C","ct_9",1777,"tr_1"
114,"NZ",NA,NA,"534a","CDI","O","P","ct_9",538,"tr_4"
122,"QB","87","87","563a","AUT","O","C",NA,181,NA
127,"GZ","83","04","526b","CDI","O","P","ct_9",600,"tr_1"
134,"JC","13","13","543e","CDI","O","C","ct_9",2108,"tr_4"
136,"GZ","85","85","554b","CDI","O","C","ct_9",1482,"tr_2"
147,"OZ","91","91","563a","AUT","O","C","ct_2",1682,"tr_5"
150,"MA","94","75","542a","CDI","O","C","ct_9",584,"tr_2"
153,"QB",NA,NA,"671a","AUT","X","P","ct_2",674,"tr_5"
155,"IZ","69","69","543h","CDI","O","C","ct_8",451,"tr_1"
163,"HZ","36","36","543g","CDI","O","C","ct_9",1373,"tr_4"
168,"PZ","29","29","422c","CDI","O","C","ct_8",1213,"tr_3"
170,"FZ","69","69","632a","CDI","O","C","ct_9",1298,"tr_1"
172,"GZ","06","06","462d","CDI","O","C","ct_9",1624,"tr_4"
189,"HZ","30","13","641b","CDI","O","C","ct_9",678,"tr_4"
198,"FZ","45","59","373b","CDI","O","C","ct_9",1820,"tr_3"
204,"OZ","45","45","523b","AUT","O","C","ct_1",1820,"tr_1"
208,"CG","12","12","675b","CDI","O","C","ct_9",1524,"tr_5"
243,"HZ","91","91","546c","CDI","O","C","ct_9",1764,"tr_4"
259,"NZ","78","92","534a","CDI","O","C","ct_9",1820,"tr_6"
261,"HZ","10","10","451a","CDI","O","C","ct_9",912,"tr_3"
265,"GZ","41","56","463d","CDI","O","N","ct_9",918,"tr_6"
276,"QA","38","38","542a","CDI","O","C","ct_8",1820,"tr_3"
302,"SZ","50","50","423b","CDI","O","C","ct_4",1991,"tr_4"
305,"QB","13","13","632k","AUT","O","C",NA,156,NA
314,"PZ","67","67","525a","CDI","O","P","ct_8",1673,"tr_3"
318,"GZ","44","44","552a","CDI","O","C","ct_9",1874,"tr_6"
337,"HZ","39","39","641a","CDI","O","C","ct_9",1989,"tr_5"
376,"OZ","14","14","472d","AUT","O","C","ct_2",1820,"tr_6"
378,"QB","62","62","632k","CDI","O","C","ct_3",1820,"tr_4"
384,"QB","33","33","563a","CDI","O","N","ct_7",2072,"tr_1"
386,"KZ","75","92","388c","CDI","O","C","ct_9",1724,"tr_6"
387,"QB","93","93","526a","CDI","O","C","ct_9",3000,"tr_4"
391,"NZ","78","78","374b","CDI","O","C","ct_9",1048,"tr_6"
393,"QB","78","78","563a","CDI","O","N","ct_7",3000,"tr_1"
411,"CC","78","78","628e","CDI","O","C","ct_9",1316,"tr_2"
412,"NZ","80","80","676c","CDI","O","C","ct_9",1157,"tr_5"
422,"NZ","72","72","546c","TTP","O","C","ct_9",339,"tr_1"
423,"GZ","16","16","634c","CDI","O","C","ct_9",1307,"tr_2"
429,"MA","94","75","462e","CDI","O","P","ct_9",532,"tr_3"
446,"GZ","33","33","554h","CDI","O","P","ct_6",1352,"tr_1"
468,"MB","57","57","451e","CDI","O","C","ct_1",2010,"tr_5"
470,"PZ","94","93","461b","CDI","O","C","ct_8",1112,"tr_1"
490,"QB","13","13","676e","AUT","O","C","ct_8",1127,"tr_5"
503,"QA","34","30","344a","CDI","O","C","ct_8",1604,"tr_2"
513,"CF","34","92","463d","CDI","O","C","ct_9",1714,"tr_6"
515,"IZ","93","93","636d","CDI","O","N",NA,232,NA
517,"KZ","66","66","467a","CDI","O","C","ct_9",1820,"tr_6"
537,"QB","35","35","525d","CDI","O","C","ct_8",1781,"tr_4"
540,"CM","94","94","478d","CDI","O","C","ct_9",1828,"tr_1"
548,"QB","87","87","563b","CDI","O","N","ct_7",1387,"tr_1"
572,"CG","85","45","388b","CDI","O","C","ct_9",1224,"tr_5"
592,"GZ","75","93","653a","CDI","O","P","ct_9",700,"tr_6"
621,"NZ","67","67","543b","CDI","O","C","ct_9",1064,"tr_4"
652,"CH","23","23","673a","CDI","O","C","ct_9",1882,"tr_3"
