Unique_id,retirement_pay
8,13397
11,13268
23,17134
27,13822
35,18584
37,18762
52,10988
54,14843
58,25278
72,25855
73,19059
74,11512
75,18902
80,11527
93,17435
98,23575
109,15466
114,15639
122,8881
127,12624
134,19098
136,13789
147,14883
150,52586
153,10272
155,23777
163,12646
168,16398
170,15670
172,14794
189,13524
198,30645
204,16907
208,12665
243,18710
259,15961
261,16577
265,10203
276,19683
302,17127
305,18041
314,13024
318,13791
337,20464
376,24190
378,13967
384,9482
386,34326
387,24928
391,77753
393,16530
411,14908
412,11431
422,15406
423,29100
429,22595
446,11169
468,25693
470,18707
490,10997
503,47537
513,24679
515,10665
517,25950
537,17006
540,25095
548,13580
572,31843
592,22520
621,20021
652,13935
665,33941
666,24281
675,27706
685,12427
696,19595
703,18409
706,19105
713,19665
729,13760
732,18036
748,26034
755,8881
759,24327
789,18872
798,22762
808,25301
810,25582
816,15096
818,10756
828,21941
854,22242
856,11319
872,12262
888,18775
897,12814
904,29131
915,15412
919,12932
925,13879
932,15845
943,17097
963,13175
965,10293
968,23109
975,13616
986,23671
988,25976
999,21509
1005,12357
1010,20184
1021,22158
1022,25057
1054,14119
1075,11865
1076,16135
1084,11675
1087,21772
1096,19658
1101,16017
1102,16973
1106,21379
1110,12947
1111,22567
1115,20243
1118,31650
1150,17795
1171,20738
1177,14872
1203,28661
1219,12016
1234,14767
1248,13469
1253,22982
1258,17200
1271,24192
1273,23891
1288,17996
1296,28526
1309,23445
1325,19835
1336,17830
1349,13343
1350,13748
1351,26043
1358,14498
1373,18950
1396,12048
1399,32684
1402,22686
1413,11050
1418,24688
1420,10932
1422,20242
1423,23137
1433,12658
1434,30715
1440,24667
1447,17947
1450,10967
1451,18407
1466,19359
1491,31277
1507,12533
1509,13095
1524,25997
1529,12359
1530,19372
1532,11102
1547,14827
1584,30590
1589,16790
1595,13648
1604,19657
1613,18518
1624,14099
1655,31727
1667,10751
1668,15899
1678,16782
1685,12514
1700,16927
1708,11795
1729,15584
1739,15754
1744,11865
1746,25088
1752,13454
1760,14722
1767,17673
1779,11050
1789,19148
1796,15540
1807,11162
1821,16757
1824,11050
1832,15161
1842,20329
1852,18092
1859,19779
1863,8881
1866,21315
1871,12518
1875,25442
1876,20820
1877,13352
1888,13902
1900,25957
1904,12733
1912,14634
1914,11865
1935,22625
1942,30945
1952,25596
1955,9573
1963,23711
1975,26480
1978,20925
1984,13924
1999,15294
2013,43356
2021,16209
2035,18946
2057,13911
2072,16464
2073,13403
2074,11800
2080,12893
2082,15791
2090,11050
2112,13115
2122,31315
2124,18406
2142,15334
2144,16853
2150,13869
2152,19950
2161,20697
2166,11164
2183,19125
2187,14079
2201,22802
2205,15100
2217,12779
2219,19898
2234,11050
2237,19112
2240,21352
2247,13333
2249,11050
2251,19543
2254,25194
2282,12270
2284,11190
2285,12820
2289,18990
2312,13080
2316,29961
2323,26662
2339,14342
2353,13973
2365,20783
2369,19230
2380,21263
2388,19416
2394,26042
2400,9648
2414,13463
2415,21043
2416,18086
2431,25931
2434,13567
2448,11437
2451,12946
2468,16778
2471,18378
2472,25810
2475,14470
2480,16398
2481,21216
2486,20099
2500,18688
2513,33904
2518,14607
2527,15072
2528,21986
2543,25125
2558,29278
2571,21277
2576,16483
2579,22346
2594,12533
2600,11610
2605,9554
2617,23611
2620,15982
2638,14540
2648,11106
2661,20687
2664,27669
2672,16324
2681,8881
2683,21287
2689,21990
2694,25789
2704,25450
2707,21144
2709,21436
2711,15836
2712,12774
2721,9100
2741,20198
2743,11865
2752,17784
2766,26039
2788,26242
2797,16649
2802,19073
2805,22056
2824,21216
2825,25445
2830,18703
2832,20645
2833,25824
2837,12251
2852,11050
2859,11541
2865,16664
2871,26528
2874,35798
2876,16647
2910,12472
2912,25750
2917,14989
2923,20404
2935,13016
2950,9506
2953,21075
2980,20394
2985,10258
2988,13490
2991,17203
3000,17576
3012,24127
3023,19831
3028,16754
3037,8881
3066,12163
3101,21607
3115,20405
3121,25766
3131,15203
3136,17642
3142,16365
3171,25972
3177,20823
3193,19938
3198,14159
3206,23904
3207,14735
3209,25898
3222,16883
3228,19812
3230,12503
3234,23329
3243,21362
3246,16550
3248,21009
3251,24049
3256,15460
3260,18611
3271,12950
3277,15593
3291,12558
3306,15169
3307,11865
3313,11050
3319,15060
3342,25837
3348,14538
3351,25171
3355,19990
3357,11471
3365,39948
3372,18611
3376,15970
3378,25522
3389,15335
3392,13967
3398,13802
3400,13385
3406,14838
3409,11635
3410,12000
3437,44889
3474,25878
3480,8881
3481,19469
3491,18428
3495,10448
3497,21201
